Country,Continent,Capital,Flag,Outline
Vatican City,Europe,Vatican City,static\countries\va\va.png,static\countries\va\1024.png
Saint Vincent and the Grenadines,North America,Kingstown,static\countries\vc\vc.png,static\countries\vc\1024.png
Venezuela,South America,Caracas,static\countries\ve\ve.png,static\countries\ve\1024.png
Vietnam,Asia,Hanoi,static\countries\vn\vn.png,static\countries\vn\1024.png
Vanuatu,Oceania,Port Vila,static\countries\vu\vu.png,static\countries\vu\1024.png
Samoa,Oceania,Apia,static\countries\ws\ws.png,static\countries\ws\1024.png
Yemen,Asia,Sana'a,static\countries\ye\ye.png,static\countries\ye\1024.png
South Africa,Africa,Pretoria,static\countries\za\za.png,static\countries\za\1024.png
Zambia,Africa,Lusaka,static\countries\zm\zm.png,static\countries\zm\1024.png
Zimbabwe,Africa,Harare,static\countries\zw\zw.png,static\countries\zw\1024.png
